"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?lngmin=-124.8047&lngmax=202.8516&latmin=-37.8575&latmax=67.2040&base_id=46521&show=coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc&datainfo"
"Access Time","Wed 2024-04-10 11:09:52 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_id","46521"
"","lngmin","-124.8047"
"","lngmax","202.8516"
"","latmin","-37.8575"
"","latmax","67.204"
"","timerule","major"
"","taxon_status","all"
"","show","coords,attr,loc,prot,time,strat,stratext,lith,lithext,geo,rem,ent,entname,crmod,paleoloc"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","protected","cx_int_no","formation","stratgroup","member","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","occurrence_comments","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified","paleomodel","geoplate","paleoage","paleolng","paleolat"
"199322","occ","","","20576","Panthera atrox","species","49733","recombined as","Panthera leo atrox","","subspecies","46509","Late Pleistocene","","0.129","0.0117","1785","249.800003","50.900002","CA","Alberta","","based on nearby landmark","1","","Red Deer River","","922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","""Panthera leo atrox""","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:10:33","gplates","not computable using this model","mid","",""
"199645","occ","","","20615","Felis atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Late Pleistocene","","0.129","0.0117","1200","249.300003","50.099998","CA","Alberta","","based on nearby landmark","1","small collection","","","922","","","","","","","","","MdHat","13","","bottom to top","","","","","said to be  Sangamonian","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","""Felis leo atrox""","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:10:06","gplates","not computable using this model","mid","",""
"199887","occ","","","20639","Felis cf. atrox","species","46509","recombined as","Panthera leo atrox","","subspecies","46509","Middle Pleistocene","","0.774","0.129","2588","241.721107","33.749443","US","California","Los Angeles","based on political unit","seconds","","","","1203","San Pedro","","","San Pedro","","","formation","","","","","","","","","","STRATIGRAPHY: Originally listed as ""San Pedro""; reinterpreted as San Pedro Sand by Hendy (2021). AGE: Database shows this as ""late Pleistocene"", although entries from legacy fields only state ""Max period: Quaternary\r\nMax epoch: Pleistocene""; should be middle Pleistocene if interpreted as San Pedro Sand (Hendy, 2021).","","not reported","","","","","","","","","","","not reported","","","","","","","","","","marine indet.","","","","4","4","4","J. Alroy","J. Alroy","J. Alroy","2002-05-15 00:00:00","2010-01-27 18:08:40","gplates","not computable using this model","mid","",""
"213114","occ","","","21690","Panthera leo","species","49734","","Panthera leo","","species","46521","Holocene","","0.0117","0","4792","35.000000","-2.416700","TZ","","","","4","","14625,000 sq.km.; natural boundaries in N Loita plains, E boundary formed by forested Loita hills and Gol mountains. Average 1780 m above sea level.","","32","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: 0 radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: minor granitic shield with some volcanics","","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: minor granitic shield with some volcanics","","","","","","","","","","","","","ETE sed env 1: ., ETE sed env 2: . ETE event: ., ETE env comment: soils are highly saline and alkaline, sandy","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"213254","occ","","","21693","Panthera leo","species","49734","","Panthera leo","","species","46521","Holocene","","0.0117","0","4805","28.666700","-24.600000","ZA","N. Transraal","Naboomspruit","","4","","Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.","","32","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: Modern Ecosystem radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: sandstones part of the Waterberg System, sandy soils overlie sandstone","","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: sandstones part of the Waterberg System, sandy soils overlie sandstone","","","","","","","","","","","","","ETE sed env 1: ., ETE sed env 2: . ETE event: ., ETE env comment: soils: litholitic,sandy,calc. alluvial, bl.clay","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"213593","occ","","","21856","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","Holocene","2.58","0","5211","5.916700","35.750000","MA","","","","4","local area","in cliffs of Cape Ashakar; in Gres de Rabat; High Cave; Tangier","","12","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: max age based on comparisons with dated sites; 2 C14 dates 625 and 2340 bp on charcoal radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: medium grained sand with pebbles and finer materials; yellow and grey in color","sandstone","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: medium grained sand with pebbles and finer materials; yellow and grey in color","sandstone","","","","","","","","","","cave","","ETE sed env 1: karst, ETE sed env 2: cave ETE event: ., ETE env comment: solution cavity","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"213869","occ","","","21896","Panthera leo","species","49734","","Panthera leo","","species","46521","Holocene","","0.0117","0","5227","23.033300","-28.205601","ZA","","","","4","outcrop","in the Postmasburg District of the Northern Cape","","32","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: 391120 +- 40; 130 +-80; dates on charcoal radiometric intage_max, radiometric intage_min","ETE rock type adj: fine red, ETE lithology comments: ash; fine red sand; rubble; artificial bedrock","sandstone","red or brown","","","","","","","","","ETE rock type adj: fine red, ETE lithology comments: ash; fine red sand; rubble; artificial bedrock","sandstone","red or brown","","","","","","","","","cave","","ETE sed env 1: karst, ETE sed env 2: cave ETE event: ., ETE env comment: mine","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"214182","occ","","","21953","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","","2.58","0.0117","5252","18.000000","-33.000000","ZA","","","","4","","46300 m from the sea on the farm of Duinefontein","","33","","","","","","","","","","","","","","","","","ETE dating method: absolute, ETE age comment: no material at Duinefontein was directly datable, so dates are based on fauna and artifacts radiometric intage_max, radiometric intage_min","ETE rock type adj: 0, ETE lithology comments: yellow and red sands","sandstone","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: yellow and red sands","sandstone","","","","","","","","","","eolian indet.","","ETE sed env 1: eolian, ETE sed env 2: swamp ETE event: ., ETE env comment: margin of marsh;eolian and colluvial components","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","701","mid","17.90","-33.26"
"218268","occ","","","22272","Panthera leo","species","49734","","Panthera leo","","species","46521","Middle Pleistocene","Late Pleistocene","0.774","0.0117","5569","36.000000","0.500000","KE","","","","4","","Lat/lg assign from Kapthurin R.","","33","Kapthurin","","","Kapthurin","","","","","","","","","","","","","ETE dating method: composite, ETE age comment: Max age=.78 Ma;Min age=.25+/- .12 Ma (K/Ar dates from tuff K4) radiometric intage_min\r\n\r\nDetailed tephrochronology reports can be found in Blegen et al. 2018 (A new tephrochronology for early diverse stone tool technologies and long-distance raw material transport in the Middle to Late Pleistocene Kapthurin Formation, East Africa, Journal of Human Evolution) supporting Middle–Late Pleistocene age for the Kapthurin Fm.","ETE rock type adj: 0, ETE lithology comments: coarsely-bed blder conglm>fn-gned volc tuffs","tuff","","","","","","","","","","ETE rock type adj: 0, ETE lithology comments: coarsely-bed blder conglm>fn-gned volc tuffs","tuff","","","","","","","","","","fluvial-lacustrine indet.","","ETE sed env 1: fluv_lacustr, ETE sed env 2: . ETE event: ., ETE env comment: 0","","24","235","8","A. Behrensmeyer","J. Damuth","M. Kosnik","1995-06-22 00:00:00","2002-07-10 22:49:32","gplates","not computable using this model","mid","",""
"219117","occ","","","22489","Panthera leo","species","49734","","Panthera leo","","species","46521","Pleistocene","","2.58","0.0117","5619","353.918600","34.435600","MA","","","","4","","""15 km SW Rabat between Temara & Skhirat, 500m from Atlantic.""","","33","","","","","","","group of beds","","","","","","","","","","""Belongs to Mid Pleistocene (Amirian) or Upper Pleistocene (Teniftian) to Soltanian (20,000 BP)""","Karstic depression of thin rubefied depth distribution in 3 stratigraphic levels","not reported","","","","","","","","","","Karstic depression of thin rubefied depth distribution in 3 stratigraphic levels","not reported","","","","","","","","","","cave","","","","24","235","797","A. Behrensmeyer","J. Damuth","B. Allen","1995-06-22 00:00:00","2023-07-28 06:57:32","gplates","not computable using this model","mid","",""
