torax_length,eye_width,leg_length,scape_length,mandible_length
0.884444445,0,1.458398184,0.461731021,0.387932709
1.176827778,0,1.552938584,0.521626081,0.363934584
2.060044445,0.114711035,1.361409007,0.683775051,0.586435895
2.481266667,0.12132087,1.804677533,0.731240519,0.388311343
0.495233333,0,1.169751632,0.67368917,0.468264118
1.840694445,0.106147259,1.323263049,0.632896425,0.362883038
1.363705556,0.108915667,1.275197679,0.604269485,0.384307721
1.944805556,0.191206564,1.592052806,0.722989484,0.297394891
3.331327778,0.137672854,1.943220561,0.893900607,0.23192965
4.426533334,0.126768919,1.987537925,0.903138633,0.237268226
3.08105,0.15554117,1.839404992,0.85262311,0.23173085399999999
1.290033333,0.201866897,1.435701345,0.746903357,0.280125708
0.474011111,0.060324584,1.288667509,0.662538282,0.470860652
0.313788889,0.043707417,0.948645892,0.553208341,0.497144851
0.340911111,0.046120192,1.071428448,0.626663745,0.509560055
0.679127778,0.051795869,1.405039539,0.638524747,0.484524197
0.910227778,0.200527556,1.72216152,0.815282016,0.425397191
0.653783333,0.203025449,1.385933857,0.683303501,0.477024403
0.831388889,0.202612802,1.420133744,0.67661352,0.424735738
1.843238889,0.152337695,0.997991891,0.425391039,0.367080681
0.779927778,0.122090131,1.282092247,0.611166346,0.397476806
0.701133333,0.065932162,1.180047117,0.614973047,0.411854306
1.181366667,0.216107418,1.255894505,0.602450974,0.332291935
2.885172222,0.082120165,1.138176822,0.538384096,0.457388632
1.560744444,0.049700141,0.999415038,0.472051169,0.408943097
0.706438889,0.168057434,1.023625968,0.549451106,0.406224373
0.713694445,0.029994508,1.048537898,0.54052271,0.384597158
1.370372222,0.175362068,1.907615891,0.750971793,0.320943627
1.350744445,0.160832511,1.37137612,0.613878429,0.336849951
0.449972222,0.150781895,1.19684848,0.642361593,0.46112349
0.473216667,0.140940329,1.137880483,0.645523747,0.407454249
0.677772222,0.075055967,1.088366812,0.654950261,0.454639783
0.904911111,0.134455332,1.229807927,0.718472887,0.541859389
1.0283,0.203835331,1.853124464,0.913103131,0.378683124
0.730788889,0.191475463,1.69376667,0.91584089,0.408037749
0.893105556,0.191099926,2.011307486,1.085279852,0.34602177
0.579288889,0.166100128,1.622138042,0.91838049,0.405726142
0.699433334,0.222456391,1.355650792,0.649674674,0.364754766
3.629822222,0.098018649,1.636861118,0.782008293,0.532237551
1.078405556,0.113006888,1.661047966,0.89267352,0.461340988
0.698794445,0.141043298,1.406950893,0.755940079,0.503890049
1.054127778,0.165429092,1.918103784,0.93446524500000006,0.444461849
0.547194445,0.162405727,1.30705479,0.701542648,0.517459722
0.919605556,0.15819793,1.644893143,0.816375884,0.481390109
0.7054,0.051987714,1.239326882,0.662503242,0.510651793
0.424,0.19780641,1.283619429,0.736010636,0.337179102
2.225716667,0.167970949,1.920551889,0.849979051,0.312183519
2.667172222,0.14592251,1.818448934,0.910049306,0.312666183
0.766427778,0.209866136,1.615940947,1.014769415,0.568848204
1.063138889,0.029817351,1.131422805,0.460036697,0.421536402
0.847344444,0.101016116,1.499323102,0.716648885,0.452545551
0.550426667,0.055228116,1.388471132,0.726478468,0.52455191
0.682455556,0.167514015,1.232731439,0.622603158,0.432968647
0.578611111,0.184874275,1.157965492,0.603527671,0.423631274
0.412172222,0.080269886,1.011383108,0.541336736,0.461476257
1.99705,0.048189198,0.93747205,0.365717051,0.447118161
0.698938889,0.079359289,1.048042649,0.406109761,0.263067096
0.842066667,0.071998445,1.458986021,0.646905775,0.502611161
0.696344445,0.081263981,1.152756541,0.542259837,0.470592268
0.520483334,0.085126269,1.441705357,0.580574691,0.361859425
0.453511111,0.219438659,1.450281718,0.7714305,0.409234836
0.51985,0.235316203,1.48987608,0.813472875,0.386784093
1.186383334,0.164600536,1.486530532,0.75887373,0.324056634
0.830383333,0.185442826,1.527999149,0.727857773,0.354413302
0.7983,0.179127025,1.203848132,0.605158091,0.387345726
0.859005556,0.167622686,1.360309797,0.69708485,0.392613847
0.559894445,0.17778061,1.254071009,0.683663685,0.404633111
0.706633333,0.170211104,1.227057854,0.627421176,0.526172333
1.019272222,0.164061197,1.253417326,0.578059813,0.461766428
1.019888889,0.175356156,1.259553847,0.600190461,0.433434029
0.6814,0.202226414,1.143571943,0.543595286,0.481561199
0.899355556,0.186617895,1.210051065,0.578676797,0.452411417
0.794183334,0.164407183,1.201772503,0.596588001,0.475048937
0.818172222,0.176880171,1.525292933,0.677731554,0.509188653
